customer_id,tenure_months,monthly_charges,support_tickets,satisfaction_score,region,plan_type,customer_lifetime_value
300497,20.5,66.94,2,4.7,West,Basic,3430.44
300498,2.2,62.94,2,7.1,South,Standard,5509.0
300499,12.5,76.6,2,7.5,South,Basic,5075.04
300500,5.9,113.15,3,5.5,East,Basic,5857.46
300501,10.4,69.88,2,5.4,South,Premium,6080.23
300502,2.8,66.14,2,6.7,East,Basic,4888.14
300503,6.5,93.02,4,4.0,East,Premium,6227.98
300504,34.5,88.13,2,6.9,North,Premium,7656.07
300505,6.1,86.36,3,4.8,South,Premium,5011.74
300506,8.1,94.1,2,7.6,North,Standard,7302.37
300507,11.1,63.77,3,3.9,North,Basic,3519.07
300508,24.0,66.43,4,5.3,South,Premium,6822.55
300509,13.9,111.67,7,4.9,East,Premium,5711.32
300510,3.8,84.5,2,5.8,South,Standard,4942.66
300511,2.5,102.31,2,8.8,East,Basic,5968.82
300512,12.5,117.38,1,7.8,South,Basic,5776.87
300513,13.7,108.3,1,5.4,West,Basic,5105.41
300514,28.8,55.13,3,5.4,South,Basic,5061.34
300515,6.7,85.2,4,7.9,East,Standard,4617.1
300516,40.0,112.98,2,4.2,North,Premium,9865.87
300517,3.9,100.55,2,6.3,West,Standard,5949.85
300518,3.9,92.41,8,5.2,South,Standard,3535.73
300519,12.2,48.65,2,6.0,West,Premium,5619.04
300520,28.2,73.2,5,7.8,South,Standard,4287.14
300521,18.5,89.66,5,5.1,West,Standard,5199.44
300522,6.4,53.78,4,8.1,South,Premium,5134.29
300523,53.7,107.05,6,10.0,North,Basic,7427.85
300524,17.9,85.18,2,7.4,East,Premium,6701.48
300525,19.1,40.49,8,6.1,South,Basic,3843.99
300526,26.3,74.4,5,8.4,West,Standard,6230.52
300527,19.6,81.13,2,4.3,South,Standard,5605.55
300528,10.7,84.88,2,9.0,East,Standard,6022.37
300529,43.7,122.07,3,4.9,South,Standard,6801.68
300530,37.4,101.88,2,10.0,South,Basic,7530.92
300531,48.7,55.23,5,5.0,East,Premium,4759.78
300532,11.6,52.25,4,7.5,East,Standard,4086.28
300533,42.6,81.6,5,3.5,East,Standard,4976.72
300534,6.2,91.03,6,5.9,East,Premium,4394.45
300535,15.9,111.82,5,4.4,South,Standard,6014.98
300536,25.8,129.52,5,3.7,West,Premium,7205.15
300537,4.9,130.82,3,8.5,South,Basic,6245.05
300538,46.4,77.38,3,4.1,South,Basic,5993.83
300539,10.7,110.43,3,5.0,East,Basic,4493.66
300540,38.5,98.22,6,4.8,South,Premium,5928.91
300541,5.4,61.82,3,8.4,West,Premium,6602.68
300542,15.6,42.69,4,8.1,West,Premium,6919.09
300543,9.1,91.46,7,8.6,West,Standard,6029.56
300544,9.2,52.12,4,4.9,South,Basic,3542.9
300545,6.0,67.56,5,8.7,East,Standard,4780.96
300546,5.6,71.56,4,4.9,South,Standard,3903.88
300547,6.7,93.25,3,4.9,North,Basic,5192.07
300548,6.5,118.73,0,5.0,East,Standard,7565.57
300549,33.1,88.31,6,5.1,East,Premium,6762.27
300550,36.4,75.07,5,6.1,North,Basic,6271.32
300551,4.7,38.36,6,4.8,West,Standard,2403.59
300552,13.0,99.0,3,6.7,West,Standard,6640.82
300553,32.7,88.69,2,1.6,South,Basic,4472.29
300554,23.7,74.81,5,6.7,North,Basic,5372.44
300555,12.3,115.99,2,4.3,West,Standard,6702.33
300556,9.4,59.42,3,5.1,North,Premium,5077.37
300557,4.8,71.56,3,5.1,South,Standard,3839.53
300558,44.8,82.12,2,8.0,South,Basic,7081.97
300559,19.4,74.51,0,7.2,West,Basic,5814.02
300560,17.0,101.22,9,6.0,East,Premium,5982.47
300561,7.6,99.13,3,5.0,East,Standard,5996.04
300562,14.7,113.22,2,7.7,West,Standard,8022.37
300563,33.0,100.06,0,9.5,East,Basic,8277.69
300564,4.3,85.23,2,6.2,East,Premium,6557.16
300565,7.4,79.84,2,3.4,North,Basic,4147.13
300566,5.2,98.93,4,5.0,South,Basic,4358.6
300567,38.8,83.43,5,7.3,South,Standard,6742.65
300568,4.1,89.13,3,5.5,North,Premium,5986.99
300569,18.7,100.23,5,4.8,South,Premium,6452.82
300570,5.2,91.33,4,4.7,South,Premium,4991.36
300571,17.3,95.41,1,6.5,North,Standard,8077.19
300572,5.1,69.02,1,3.5,South,Standard,4478.29
300573,10.1,120.39,2,6.2,South,Standard,6755.99
300574,42.9,61.44,3,6.5,South,Standard,5802.04
300575,21.4,98.54,3,5.5,East,Basic,6910.3
300576,16.7,76.34,3,4.4,West,Standard,4334.01
300577,20.3,113.98,3,8.1,East,Premium,7660.66
300578,45.3,109.21,3,3.9,South,Basic,6994.57
300579,17.5,87.95,7,6.6,East,Basic,4932.77
300580,31.6,125.31,3,7.6,East,Basic,7176.46
300581,32.2,83.5,3,6.6,South,Standard,6029.72
300582,29.4,109.16,4,8.5,North,Standard,7613.49
300583,65.8,70.57,3,4.3,South,Standard,6836.3
300584,24.2,97.72,5,4.9,South,Standard,6622.02
300585,30.2,65.62,2,5.5,North,Premium,7130.48
300586,10.2,88.47,4,10.0,South,Basic,6385.97
300587,15.7,86.77,4,7.2,South,Premium,6186.75
300588,15.2,109.09,2,7.6,South,Premium,7901.26
300589,7.4,71.9,1,7.5,South,Standard,4604.73
300590,8.1,161.76,3,6.4,West,Basic,7487.89
300591,15.0,54.83,3,8.2,North,Premium,6376.03
300592,18.1,93.59,1,2.9,East,Standard,6818.86
300593,44.2,94.91,6,6.8,South,Basic,7140.62
300594,7.4,100.91,5,7.1,East,Basic,5091.91
300595,7.0,75.63,5,8.1,East,Premium,5473.12
300596,4.4,93.8,3,4.2,East,Basic,4045.85
300597,26.7,74.45,4,4.4,East,Standard,5089.78
300598,50.9,132.96,2,4.5,East,Standard,9307.24
300599,14.3,72.76,4,7.2,East,Standard,5706.66
300600,18.7,84.45,4,7.3,North,Standard,6575.17
